"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25","Get courses","LMS service","2026-07-23","passed","2026-07-23","Get entities","Courses","",""
"","611","Create user","LMS service","2026-07-23","passed","2026-07-23","Create entity","Users","",""
"","303","Create file with empty directory","LMS service","2026-07-23","passed","2026-07-23","Validate entity","Files","",""
"","17","Get exercise","LMS service","2026-07-23","passed","2026-07-23","Get entity","Exercises","",""
"","328","Get exercises","LMS service","2026-07-23","passed","2026-07-23","Get entities","Exercises","",""
"","617","Login with correct email and password","LMS service","2026-07-23","passed","2026-07-23","Login","Authentication","",""
"","21","Delete file","LMS service","2026-07-23","passed","2026-07-23","Delete entity","Files","",""
"","13","Get user me","LMS service","2026-07-23","passed","2026-07-23","Get entity","Users","",""
"","23","Create exercise","LMS service","2026-07-23","passed","2026-07-23","Create entity","Exercises","",""
"","323","Create user","LMS service","2026-07-23","passed","2026-07-23","Create entity","Users","",""
"","61","Update exercise","LMS service","2026-07-23","passed","2026-07-23","Update entity","Exercises","",""
"","22","Get three exercises","LMS service","2026-07-23","passed","2026-07-23","Get entities","Exercises","",""
"","30","Delete exercise","LMS service","2026-07-23","passed","2026-07-23","Delete entity","Exercises","",""
"","17","Get file with incorrect file id","LMS service","2026-07-23","passed","2026-07-23","Validate entity","Files","",""
"","304","Create file with empty filename","LMS service","2026-07-23","passed","2026-07-23","Validate entity","Files","",""
"","604","Create user","LMS service","2026-07-23","passed","2026-07-23","Create entity","Users","",""
"","13","Get file","LMS service","2026-07-23","passed","2026-07-23","Get entity","Files","",""
"","29","Create course","LMS service","2026-07-23","passed","2026-07-23","Create entity","Courses","",""
"","32","Get three courses","LMS service","2026-07-23","passed","2026-07-23","Get entities","Courses","",""
"","31","Create file","LMS service","2026-07-23","passed","2026-07-23","Create entity","Files","",""
"","340","Update course","LMS service","2026-07-23","passed","2026-07-23","Update entity","Courses","",""
