"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17","Get exercises","LMS service","2026-07-23","passed","2026-07-23","Get entities","Exercises","",""
"","18","Delete exercise","LMS service","2026-07-23","passed","2026-07-23","Delete entity","Exercises","",""
"","23","Create course","LMS service","2026-07-23","passed","2026-07-23","Create entity","Courses","",""
"","23","Get three exercises","LMS service","2026-07-23","passed","2026-07-23","Get entities","Exercises","",""
"","486","Create user","LMS service","2026-07-23","passed","2026-07-23","Create entity","Users","",""
"","498","Login with correct email and password","LMS service","2026-07-23","passed","2026-07-23","Login","Authentication","",""
"","29","Update course","LMS service","2026-07-23","passed","2026-07-23","Update entity","Courses","",""
"","258","Create user","LMS service","2026-07-23","passed","2026-07-23","Create entity","Users","",""
"","18","Create file with empty filename","LMS service","2026-07-23","passed","2026-07-23","Validate entity","Files","",""
"","24","Get courses","LMS service","2026-07-23","passed","2026-07-23","Get entities","Courses","",""
"","12","Get file with incorrect file id","LMS service","2026-07-23","passed","2026-07-23","Validate entity","Files","",""
"","51","Create exercise","LMS service","2026-07-23","passed","2026-07-23","Create entity","Exercises","",""
"","241","Create file with empty directory","LMS service","2026-07-23","passed","2026-07-23","Validate entity","Files","",""
"","21","Update exercise","LMS service","2026-07-23","passed","2026-07-23","Update entity","Exercises","",""
"","269","Delete file","LMS service","2026-07-23","passed","2026-07-23","Delete entity","Files","",""
"","358","Create file","LMS service","2026-07-23","passed","2026-07-23","Create entity","Files","",""
"","27","Get three courses","LMS service","2026-07-23","passed","2026-07-23","Get entities","Courses","",""
"","11","Get user me","LMS service","2026-07-23","passed","2026-07-23","Get entity","Users","",""
"","10","Get file","LMS service","2026-07-23","passed","2026-07-23","Get entity","Files","",""
"","22","Get exercise","LMS service","2026-07-23","passed","2026-07-23","Get entity","Exercises","",""
"","487","Create user","LMS service","2026-07-23","passed","2026-07-23","Create entity","Users","",""
